transaction_id,customer_id,date,time,description,payee,amount,channel
TXN0001,CUST001,2023-10-02,09:15:00,Morning Coffee,Starbucks,6.50,CARD
TXN0002,CUST001,2023-10-05,18:30:00,Weekly Groceries,BigBasket,64.20,UPI
TXN0003,CUST001,2023-10-08,13:10:00,Lunch with colleagues,Swiggy,18.50,UPI
TXN0004,CUST001,2023-10-12,10:45:00,Metro Commute Card Recharge,City Metro Rail,30.00,NET_BANKING
TXN0005,CUST001,2023-10-16,19:20:00,Supermarket Supplies,D-Mart Superstore,85.40,CARD
TXN0006,CUST001,2023-10-20,14:00:00,Pharmacy purchase,Apollo Pharmacy,24.50,UPI
TXN0007,CUST001,2023-10-25,11:30:00,Electricity Bill Payment,State Electricity Board,58.00,NET_BANKING
TXN0008,CUST001,2023-10-28,20:15:00,Dinner delivery,Zomato,26.80,UPI
TXN0009,CUST001,2023-11-02,09:40:00,Fuel refill,Shell Petrol Station,45.00,CARD
TXN0010,CUST001,2023-11-06,17:50:00,Vegetables and Dairy,BigBasket,42.10,UPI
TXN0011,CUST001,2023-11-10,12:20:00,Bookstore purchase,Crossword Books,32.00,CARD
TXN0012,CUST001,2023-11-15,15:10:00,Broadband Bill,Airtel Broadband,35.00,NET_BANKING
TXN0013,CUST001,2023-11-19,18:45:00,Household Essentials,D-Mart Superstore,112.50,CARD
TXN0014,CUST001,2023-11-24,13:30:00,Weekend Lunch,Swiggy,22.00,UPI
TXN0015,CUST001,2023-11-28,11:00:00,Water Utility Bill,Municipal Water Board,18.00,NET_BANKING
TXN0016,CUST001,2023-12-03,16:15:00,Clothing retail store,FabIndia,140.00,CARD
TXN0017,CUST001,2023-12-07,18:20:00,Organic Groceries,BigBasket,55.60,UPI
TXN0018,CUST001,2023-12-12,14:40:00,Fuel refill,Shell Petrol Station,48.00,CARD
TXN0019,CUST001,2023-12-16,12:00:00,Movie Tickets,PVR Cinemas,28.00,UPI
TXN0020,CUST001,2023-12-21,19:10:00,Holiday Treats & Bakery,Theobroma Bakery,38.50,CARD
TXN0021,CUST001,2023-12-26,17:30:00,Year-end Grocery Restock,D-Mart Superstore,95.00,CARD
TXN0022,CUST001,2023-12-30,13:00:00,Dining with family,Barbeque Nation,82.00,CARD
TXN0023,CUST001,2024-01-03,10:15:00,Mobile Recharge,Jio Prepaid,25.00,UPI
TXN0024,CUST001,2024-01-07,18:40:00,Weekly Groceries,BigBasket,61.20,UPI
TXN0025,CUST001,2024-01-11,14:20:00,Routine Dental checkup payment,Clove Dental,75.00,UPI
TXN0026,CUST001,2024-01-14,11:10:00,Coffee and Sandwich,Starbucks,12.50,CARD
TXN0027,CUST002,2023-10-01,10:00:00,Coffee shop,Cafe Coffee Day,5.50,CARD
TXN0028,CUST002,2023-10-04,14:20:00,Office lunch,FreshMenu,14.00,UPI
TXN0029,CUST002,2023-10-07,18:30:00,Weekly provisions,Reliance Fresh,52.00,CARD
TXN0030,CUST002,2023-10-11,11:15:00,Cab ride,Uber,16.50,UPI
TXN0031,CUST002,2023-10-15,19:00:00,Grocery store,Nature Basket,68.00,UPI
TXN0032,CUST002,2023-10-19,13:40:00,Fast food lunch,McDonalds,12.00,CARD
TXN0033,CUST002,2023-10-23,17:25:00,Fuel,Indian Oil,40.00,CARD
TXN0034,CUST002,2023-10-27,10:50:00,Subscription,Netflix,15.00,CARD
TXN0035,CUST002,2023-10-31,16:00:00,Electricity payment,Tata Power,48.00,NET_BANKING
TXN0036,CUST002,2023-11-04,12:10:00,Weekend grocery,Reliance Fresh,58.50,CARD
TXN0037,CUST002,2023-11-08,15:30:00,Electronics accessory,Amazon India,34.00,UPI
TXN0038,CUST002,2023-11-12,18:45:00,Pharmacy store,MedPlus,22.00,UPI
TXN0039,CUST002,2023-11-16,11:00:00,Car servicing payment,Maruti Service Center,120.00,NET_BANKING
TXN0040,CUST002,2023-11-20,14:15:00,Dinner takeout,Zomato,25.00,UPI
TXN0041,CUST002,2023-11-24,19:30:00,Household goods,Reliance Fresh,72.00,CARD
TXN0042,CUST002,2023-11-29,10:30:00,Mobile bill,Airtel Postpaid,28.00,NET_BANKING
TXN0043,CUST002,2023-12-03,13:50:00,Fuel refill,Indian Oil,42.00,CARD
TXN0044,CUST002,2023-12-07,17:15:00,Books and stationery,Amazon India,29.50,UPI
TXN0045,CUST002,2023-12-11,18:40:00,Winter clothing,Decathlon,95.00,CARD
TXN0046,CUST002,2023-12-15,12:05:00,Office lunch,FreshMenu,15.50,UPI
TXN0047,CUST002,2023-12-19,19:10:00,Groceries,Reliance Fresh,64.00,CARD
TXN0048,CUST002,2023-12-24,14:30:00,Gift shopping,Shoppers Stop,110.00,CARD
TXN0049,CUST002,2023-12-28,11:45:00,Year end groceries,Nature Basket,84.00,UPI
TXN0050,CUST002,2024-01-02,10:20:00,Coffee shop,Cafe Coffee Day,6.00,CARD
TXN0051,CUST002,2024-01-06,16:40:00,Home utilities,Tata Power,51.00,NET_BANKING
TXN0052,CUST002,2024-01-10,13:15:00,Fuel,Indian Oil,44.00,CARD
TXN0053,CUST002,2024-01-13,18:00:00,Grocery delivery,Reliance Fresh,60.00,UPI
TXN0054,CUST002,2024-01-14,14:15:20,Urgent Settlement Transfer,Apex Luxury Assets Ltd,24500.00,NEFT
TXN0055,CUST003,2023-10-03,11:00:00,Morning latte,Blue Tokai Coffee,4.50,UPI
TXN0056,CUST003,2023-10-06,15:20:00,Online groceries,Blinkit,38.00,UPI
TXN0057,CUST003,2023-10-10,19:10:00,Dining out,Mainland China,75.00,CARD
